Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 16 strings array; 7.890 sort μs; 1.765 rand gen μs; 25.710 overhead μs; 35.365 total μs; 53.000 swaps; 46.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 32 strings array; 2.582 sort μs; 2.348 rand gen μs; 6.370 overhead μs; 11.300 total μs; 146.000 swaps; 120.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 64 strings array; 5.596 sort μs; 4.109 rand gen μs; 5.940 overhead μs; 15.645 total μs; 340.000 swaps; 305.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 128 strings array; 12.736 sort μs; 8.052 rand gen μs; 5.693 overhead μs; 26.481 total μs; 823.000 swaps; 748.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 256 strings array; 27.176 sort μs; 17.061 rand gen μs; 5.871 overhead μs; 50.108 total μs; 1887.000 swaps; 1707.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 512 strings array; 61.420 sort μs; 31.704 rand gen μs; 6.491 overhead μs; 99.615 total μs; 4293.000 swaps; 3971.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 1024 strings array; 134.822 sort μs; 63.268 rand gen μs; 6.645 overhead μs; 204.735 total μs; 9605.000 swaps; 8939.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 2048 strings array; 291.363 sort μs; 128.098 rand gen μs; 25.049 overhead μs; 444.510 total μs; 21157.000 swaps; 19935.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 4096 strings array; 635.475 sort μs; 250.774 rand gen μs; 9.237 overhead μs; 895.486 total μs; 46566.000 swaps; 43934.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 8192 strings array; 1384.070 sort μs; 505.265 rand gen μs; 12.088 overhead μs; 1901.423 total μs; 101293.000 swaps; 96099.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 16384 strings array; 2969.572 sort μs; 1009.120 rand gen μs; 18.078 overhead μs; 3996.770 total μs; 218714.000 swaps; 208567.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 32768 strings array; 6394.035 sort μs; 2016.934 rand gen μs; 30.317 overhead μs; 8441.286 total μs; 470736.000 swaps; 450054.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 65536 strings array; 13860.759 sort μs; 4018.650 rand gen μs; 53.789 overhead μs; 17933.198 total μs; 1007059.000 swaps; 965751.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 131072 strings array; 29489.262 sort μs; 8032.075 rand gen μs; 109.230 overhead μs; 37630.567 total μs; 2145609.000 swaps; 2062843.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 262144 strings array; 63576.578 sort μs; 16125.988 rand gen μs; 227.420 overhead μs; 79929.986 total μs; 4552784.000 swaps; 4387818.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 524288 strings array; 139232.794 sort μs; 32197.229 rand gen μs; 863.366 overhead μs; 172293.389 total μs; 9629608.000 swaps; 9298197.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 1048576 strings array; 296306.617 sort μs; 64551.565 rand gen μs; 2285.557 overhead μs; 363143.739 total μs; 20307999.000 swaps; 19644618.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 2097152 strings array; 636376.686 sort μs; 129971.715 rand gen μs; 5043.952 overhead μs; 771392.353 total μs; 42713986.000 swaps; 41389396.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 4194304 strings array; 1348880.962 sort μs; 257414.293 rand gen μs; 10436.123 overhead μs; 1616731.378 total μs; 89622416.000 swaps; 86970720.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 8388608 strings array; 2863289.038 sort μs; 514917.656 rand gen μs; 20533.672 overhead μs; 3398740.366 total μs; 187635561.000 swaps; 182329486.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 16777216 strings array; 6077623.267 sort μs; 1030312.891 rand gen μs; 41785.462 overhead μs; 7149721.620 total μs; 392047177.000 swaps; 381440668.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 33554432 strings array; 12818759.517 sort μs; 2060775.665 rand gen μs; 83013.957 overhead μs; 14962549.139 total μs; 817652282.000 swaps; 796432429.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 67108864 strings array; 26712844.037 sort μs; 4122830.837 rand gen μs; 166217.419 overhead μs; 31001892.293 total μs; 1702390546.000 swaps; 1659973333.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 134217728 strings array; 55071559.732 sort μs; 8242092.110 rand gen μs; 338235.337 overhead μs; 63651887.179 total μs; 3539027228.000 swaps; 3454169006.000 compares
Merge Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 268435456 strings array; 114768805.504 sort μs; 16490143.886 rand gen μs; 691233.632 overhead μs; 131950183.022 total μs; 7346464816.000 swaps; 7176767027.000 compares
