Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 2048 strings array; 287.240 sort μs; 114.739 rand gen μs; 2.011 overhead μs; 403.990 total μs; 7613.900 swaps; 30530.400 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 2048 strings array; 257.571 sort μs; 126.135 rand gen μs; 2.029 overhead μs; 385.735 total μs; 7620.800 swaps; 29992.100 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 2048 strings array; 307.646 sort μs; 223.986 rand gen μs; 2.079 overhead μs; 533.711 total μs; 7628.100 swaps; 29949.100 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 2048 strings array; 302.402 sort μs; 447.346 rand gen μs; 2.012 overhead μs; 751.760 total μs; 7609.300 swaps; 30119.000 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 2048 strings array; 321.061 sort μs; 930.191 rand gen μs; 3.143 overhead μs; 1254.395 total μs; 7603.900 swaps; 30497.500 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 2048 strings array; 307.110 sort μs; 1762.895 rand gen μs; 3.207 overhead μs; 2073.213 total μs; 7573.600 swaps; 30412.100 compares
Quick Sort; Head<256ul, 7ul, 16ul> type; 256 byte length; 10 iteration; 2048 strings array; 302.570 sort μs; 3445.945 rand gen μs; 2.237 overhead μs; 3750.752 total μs; 7613.900 swaps; 29845.700 compares
Quick Sort; Head<512ul, 7ul, 16ul> type; 512 byte length; 10 iteration; 2048 strings array; 304.515 sort μs; 6828.599 rand gen μs; 2.321 overhead μs; 7135.436 total μs; 7622.800 swaps; 30815.800 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 10 iteration; 2048 strings array; 305.933 sort μs; 13701.541 rand gen μs; 2.621 overhead μs; 14010.095 total μs; 7632.100 swaps; 30479.000 compares
Quick Sort; Head<2ul, 7ul, 16ul> type; 2 byte length; 10 iteration; 4096 strings array; 583.057 sort μs; 210.399 rand gen μs; 4.446 overhead μs; 797.903 total μs; 16348.300 swaps; 67750.700 compares
Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 4096 strings array; 623.685 sort μs; 229.287 rand gen μs; 3.149 overhead μs; 856.121 total μs; 16151.000 swaps; 66520.300 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 4096 strings array; 564.084 sort μs; 253.267 rand gen μs; 3.119 overhead μs; 820.470 total μs; 16181.400 swaps; 66493.200 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 4096 strings array; 669.103 sort μs; 448.507 rand gen μs; 3.318 overhead μs; 1120.928 total μs; 16167.300 swaps; 66204.200 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 4096 strings array; 660.646 sort μs; 894.871 rand gen μs; 5.251 overhead μs; 1560.768 total μs; 16132.800 swaps; 66889.500 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 4096 strings array; 674.276 sort μs; 1782.737 rand gen μs; 3.246 overhead μs; 2460.259 total μs; 16164.200 swaps; 66820.700 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 4096 strings array; 650.879 sort μs; 3510.748 rand gen μs; 3.561 overhead μs; 4165.188 total μs; 16151.400 swaps; 65221.700 compares
Quick Sort; Head<256ul, 7ul, 16ul> type; 256 byte length; 10 iteration; 4096 strings array; 653.808 sort μs; 6905.982 rand gen μs; 4.236 overhead μs; 7564.026 total μs; 16197.600 swaps; 65540.400 compares
Quick Sort; Head<512ul, 7ul, 16ul> type; 512 byte length; 10 iteration; 4096 strings array; 651.472 sort μs; 13617.315 rand gen μs; 3.576 overhead μs; 14272.363 total μs; 16186.400 swaps; 65699.700 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 10 iteration; 4096 strings array; 663.345 sort μs; 27435.313 rand gen μs; 14.809 overhead μs; 28113.467 total μs; 16164.500 swaps; 66413.600 compares
Quick Sort; Head<2ul, 7ul, 16ul> type; 2 byte length; 10 iteration; 8192 strings array; 1264.040 sort μs; 447.964 rand gen μs; 6.714 overhead μs; 1718.718 total μs; 35293.200 swaps; 140096.400 compares
Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 8192 strings array; 1381.464 sort μs; 483.590 rand gen μs; 5.862 overhead μs; 1870.915 total μs; 34191.300 swaps; 143932.900 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 8192 strings array; 1246.152 sort μs; 523.841 rand gen μs; 6.181 overhead μs; 1776.173 total μs; 34288.200 swaps; 141806.000 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 8192 strings array; 1478.927 sort μs; 928.833 rand gen μs; 7.034 overhead μs; 2414.793 total μs; 34164.600 swaps; 145879.500 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 8192 strings array; 1432.627 sort μs; 1804.125 rand gen μs; 5.723 overhead μs; 3242.475 total μs; 34176.400 swaps; 144200.800 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 8192 strings array; 1492.163 sort μs; 3643.765 rand gen μs; 5.872 overhead μs; 5141.801 total μs; 34214.000 swaps; 145067.300 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 8192 strings array; 1452.840 sort μs; 7212.249 rand gen μs; 6.003 overhead μs; 8671.092 total μs; 34263.000 swaps; 143314.200 compares
Quick Sort; Head<256ul, 7ul, 16ul> type; 256 byte length; 10 iteration; 8192 strings array; 1455.776 sort μs; 14171.921 rand gen μs; 6.337 overhead μs; 15634.035 total μs; 34141.000 swaps; 146875.100 compares
