Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 1024 strings array; 470.359 sort μs; 3447.388 rand gen μs; 3.179 overhead μs; 3920.927 total μs; 3561.900 swaps; 13697.700 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 1024 strings array; 663.658 sort μs; 6844.498 rand gen μs; 1.915 overhead μs; 7510.072 total μs; 3580.800 swaps; 13607.600 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 2048 strings array; 315.393 sort μs; 111.118 rand gen μs; 2.030 overhead μs; 428.542 total μs; 7682.300 swaps; 29482.600 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 2048 strings array; 321.486 sort μs; 114.933 rand gen μs; 2.968 overhead μs; 439.387 total μs; 7601.600 swaps; 30499.500 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 2048 strings array; 331.868 sort μs; 128.189 rand gen μs; 2.138 overhead μs; 462.195 total μs; 7614.200 swaps; 30008.700 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 2048 strings array; 373.759 sort μs; 225.754 rand gen μs; 1.010 overhead μs; 600.523 total μs; 7593.200 swaps; 31287.200 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 2048 strings array; 386.304 sort μs; 440.147 rand gen μs; 1.013 overhead μs; 827.464 total μs; 7597.900 swaps; 30385.200 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 2048 strings array; 383.821 sort μs; 879.387 rand gen μs; 1.040 overhead μs; 1264.247 total μs; 7619.400 swaps; 29756.900 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 2048 strings array; 640.553 sort μs; 1735.678 rand gen μs; 1.157 overhead μs; 2377.388 total μs; 7620.300 swaps; 29661.800 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 2048 strings array; 777.336 sort μs; 3536.541 rand gen μs; 1.483 overhead μs; 4315.360 total μs; 7609.600 swaps; 30578.500 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 2048 strings array; 1030.095 sort μs; 6946.544 rand gen μs; 3.233 overhead μs; 7979.872 total μs; 7606.000 swaps; 30112.500 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 2048 strings array; 1623.055 sort μs; 15846.277 rand gen μs; 3.650 overhead μs; 17472.983 total μs; 7602.600 swaps; 30350.600 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 4096 strings array; 680.486 sort μs; 211.271 rand gen μs; 2.810 overhead μs; 894.568 total μs; 16450.200 swaps; 65900.600 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 4096 strings array; 674.645 sort μs; 225.221 rand gen μs; 1.158 overhead μs; 901.024 total μs; 16152.900 swaps; 66428.800 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 4096 strings array; 709.080 sort μs; 250.488 rand gen μs; 1.022 overhead μs; 960.591 total μs; 16168.200 swaps; 66742.200 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 4096 strings array; 789.748 sort μs; 449.047 rand gen μs; 2.487 overhead μs; 1241.282 total μs; 16176.900 swaps; 65523.700 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 4096 strings array; 830.333 sort μs; 879.023 rand gen μs; 1.207 overhead μs; 1710.562 total μs; 16163.700 swaps; 66580.700 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 4096 strings array; 820.533 sort μs; 1752.386 rand gen μs; 1.168 overhead μs; 2574.087 total μs; 16206.900 swaps; 65768.100 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 4096 strings array; 1379.107 sort μs; 3479.190 rand gen μs; 1.250 overhead μs; 4859.547 total μs; 16171.900 swaps; 67198.600 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 4096 strings array; 1619.715 sort μs; 6969.287 rand gen μs; 1.515 overhead μs; 8590.517 total μs; 16206.400 swaps; 65574.000 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 4096 strings array; 2257.402 sort μs; 13714.730 rand gen μs; 1.925 overhead μs; 15974.057 total μs; 16182.500 swaps; 65693.100 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 4096 strings array; 3417.641 sort μs; 27555.344 rand gen μs; 2.870 overhead μs; 30975.855 total μs; 16169.100 swaps; 65836.600 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 8192 strings array; 1411.282 sort μs; 416.582 rand gen μs; 2.323 overhead μs; 1830.187 total μs; 35268.300 swaps; 139797.500 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 8192 strings array; 1480.090 sort μs; 455.191 rand gen μs; 1.335 overhead μs; 1936.616 total μs; 34112.300 swaps; 145886.700 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 8192 strings array; 1560.944 sort μs; 508.637 rand gen μs; 1.412 overhead μs; 2070.993 total μs; 34241.900 swaps; 145707.800 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 8192 strings array; 1683.019 sort μs; 928.473 rand gen μs; 1.416 overhead μs; 2612.908 total μs; 34336.400 swaps; 141671.400 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 8192 strings array; 1785.284 sort μs; 1759.486 rand gen μs; 1.540 overhead μs; 3546.311 total μs; 34105.000 swaps; 146321.400 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 8192 strings array; 1772.176 sort μs; 3515.154 rand gen μs; 2.998 overhead μs; 5290.328 total μs; 34134.600 swaps; 146486.700 compares
