Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 64 strings array; 5.630 sort μs; 4.381 rand gen μs; 5.522 overhead μs; 15.533 total μs; 346.000 swaps; 304.000 compares                                                                   
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 128 strings array; 12.468 sort μs; 8.441 rand gen μs; 5.467 overhead μs; 26.376 total μs; 831.000 swaps; 739.000 compares                                                                 
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 256 strings array; 28.317 sort μs; 16.393 rand gen μs; 5.457 overhead μs; 50.167 total μs; 1880.000 swaps; 1720.000 compares                                                              
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 512 strings array; 62.797 sort μs; 32.515 rand gen μs; 6.253 overhead μs; 101.565 total μs; 4288.000 swaps; 3955.000 compares                                                             
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 1024 strings array; 135.403 sort μs; 63.681 rand gen μs; 6.489 overhead μs; 205.573 total μs; 9551.000 swaps; 8941.000 compares                                                           
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 2048 strings array; 295.507 sort μs; 126.614 rand gen μs; 7.771 overhead μs; 429.892 total μs; 21208.000 swaps; 19936.000 compares                                                        
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 4096 strings array; 637.347 sort μs; 253.534 rand gen μs; 8.919 overhead μs; 899.800 total μs; 46553.000 swaps; 43970.000 compares                                                        
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 8192 strings array; 1365.635 sort μs; 510.754 rand gen μs; 11.921 overhead μs; 1888.310 total μs; 101431.000 swaps; 96102.000 compares                                                    
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 16384 strings array; 2948.911 sort μs; 1055.009 rand gen μs; 17.334 overhead μs; 4021.254 total μs; 219050.000 swaps; 208803.000 compares                                                 
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 32768 strings array; 6355.665 sort μs; 2035.988 rand gen μs; 29.863 overhead μs; 8421.516 total μs; 470759.000 swaps; 450059.000 compares                                                 
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 65536 strings array; 13916.372 sort μs; 4062.685 rand gen μs; 53.650 overhead μs; 18032.707 total μs; 1007512.000 swaps; 965824.000 compares                                              
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 131072 strings array; 29418.495 sort μs; 8124.556 rand gen μs; 105.460 overhead μs; 37648.511 total μs; 2145456.000 swaps; 2062571.000 compares                                           
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 262144 strings array; 63637.956 sort μs; 16390.089 rand gen μs; 240.568 overhead μs; 80268.613 total μs; 4552534.000 swaps; 4386915.000 compares                                          
