Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 8192 strings array; 1327.390 sort μs; 515.490 rand gen μs; 5.481 overhead μs; 1848.362 total μs; 34154.600 swaps; 144628.600 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 8192 strings array; 1353.922 sort μs; 904.284 rand gen μs; 6.980 overhead μs; 2265.186 total μs; 34215.600 swaps; 144187.600 compares
Quick Sort; Symbiont<32ul, 3ul, 32ul> type; 32 byte length; 10 iteration; 8192 strings array; 1681.087 sort μs; 1749.022 rand gen μs; 12.771 overhead μs; 3442.881 total μs; 34179.500 swaps; 145627.400 compares
Quick Sort; Symbiont<64ul, 3ul, 32ul> type; 64 byte length; 10 iteration; 8192 strings array; 1444.444 sort μs; 3542.772 rand gen μs; 19.581 overhead μs; 5006.797 total μs; 34334.700 swaps; 142994.500 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 10 iteration; 8192 strings array; 1484.922 sort μs; 6978.680 rand gen μs; 19.732 overhead μs; 8483.334 total μs; 34285.900 swaps; 142094.500 compares
Quick Sort; Symbiont<256ul, 3ul, 32ul> type; 256 byte length; 10 iteration; 8192 strings array; 1448.233 sort μs; 13913.075 rand gen μs; 21.445 overhead μs; 15382.753 total μs; 34204.200 swaps; 143023.700 compares
Quick Sort; Symbiont<512ul, 3ul, 32ul> type; 512 byte length; 10 iteration; 8192 strings array; 1464.239 sort μs; 27189.167 rand gen μs; 21.869 overhead μs; 28675.274 total μs; 34123.700 swaps; 145844.500 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 8192 strings array; 1474.899 sort μs; 54427.274 rand gen μs; 43.887 overhead μs; 55946.060 total μs; 34288.700 swaps; 141061.900 compares
Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 16384 strings array; 2752.314 sort μs; 838.721 rand gen μs; 12.331 overhead μs; 3603.365 total μs; 75930.700 swaps; 293616.300 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 16384 strings array; 2584.178 sort μs; 899.605 rand gen μs; 11.131 overhead μs; 3494.914 total μs; 71910.100 swaps; 315050.000 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 16384 strings array; 2849.213 sort μs; 1021.197 rand gen μs; 12.222 overhead μs; 3882.632 total μs; 72350.800 swaps; 308887.200 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 16384 strings array; 2914.893 sort μs; 1813.401 rand gen μs; 18.330 overhead μs; 4746.624 total μs; 72207.200 swaps; 313376.300 compares
Quick Sort; Symbiont<32ul, 3ul, 32ul> type; 32 byte length; 10 iteration; 16384 strings array; 3586.165 sort μs; 3489.020 rand gen μs; 30.171 overhead μs; 7105.356 total μs; 72413.100 swaps; 307747.800 compares
Quick Sort; Symbiont<64ul, 3ul, 32ul> type; 64 byte length; 10 iteration; 16384 strings array; 3115.561 sort μs; 7087.491 rand gen μs; 42.938 overhead μs; 10245.990 total μs; 72218.800 swaps; 310558.800 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 10 iteration; 16384 strings array; 3261.732 sort μs; 13971.352 rand gen μs; 43.370 overhead μs; 17276.454 total μs; 72441.000 swaps; 305225.900 compares
Quick Sort; Symbiont<256ul, 3ul, 32ul> type; 256 byte length; 10 iteration; 16384 strings array; 3157.923 sort μs; 27605.017 rand gen μs; 43.865 overhead μs; 30806.806 total μs; 72220.700 swaps; 310545.700 compares
Quick Sort; Symbiont<512ul, 3ul, 32ul> type; 512 byte length; 10 iteration; 16384 strings array; 3181.522 sort μs; 54429.105 rand gen μs; 44.011 overhead μs; 57654.638 total μs; 72260.900 swaps; 312561.500 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 16384 strings array; 3325.374 sort μs; 109479.171 rand gen μs; 89.252 overhead μs; 112893.797 total μs; 72229.600 swaps; 309770.900 compares
Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 32768 strings array; 5713.024 sort μs; 1667.411 rand gen μs; 22.350 overhead μs; 7402.785 total μs; 164048.800 swaps; 619039.300 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 32768 strings array; 5455.118 sort μs; 1798.736 rand gen μs; 22.610 overhead μs; 7276.464 total μs; 152163.500 swaps; 664655.700 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 32768 strings array; 6039.495 sort μs; 2043.658 rand gen μs; 27.217 overhead μs; 8110.370 total μs; 152142.800 swaps; 662188.000 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 32768 strings array; 6184.285 sort μs; 3634.102 rand gen μs; 36.818 overhead μs; 9855.205 total μs; 151775.000 swaps; 669981.800 compares
Quick Sort; Symbiont<32ul, 3ul, 32ul> type; 32 byte length; 10 iteration; 32768 strings array; 7687.261 sort μs; 6979.331 rand gen μs; 62.379 overhead μs; 14728.972 total μs; 151815.000 swaps; 669580.900 compares
Quick Sort; Symbiont<64ul, 3ul, 32ul> type; 64 byte length; 10 iteration; 32768 strings array; 6742.672 sort μs; 14172.255 rand gen μs; 85.300 overhead μs; 21000.227 total μs; 151719.800 swaps; 672922.400 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 10 iteration; 32768 strings array; 6990.245 sort μs; 27879.098 rand gen μs; 86.473 overhead μs; 34955.816 total μs; 151534.300 swaps; 683151.300 compares
Quick Sort; Symbiont<256ul, 3ul, 32ul> type; 256 byte length; 10 iteration; 32768 strings array; 6769.727 sort μs; 55094.635 rand gen μs; 87.051 overhead μs; 61951.413 total μs; 151855.400 swaps; 668948.600 compares
Quick Sort; Symbiont<512ul, 3ul, 32ul> type; 512 byte length; 10 iteration; 32768 strings array; 7179.754 sort μs; 108851.245 rand gen μs; 91.245 overhead μs; 116122.245 total μs; 152119.500 swaps; 658706.800 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 32768 strings array; 8034.800 sort μs; 219047.815 rand gen μs; 177.853 overhead μs; 227260.468 total μs; 151722.100 swaps; 674033.100 compares
Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 65536 strings array; 11530.519 sort μs; 3321.460 rand gen μs; 42.615 overhead μs; 14894.593 total μs; 354507.600 swaps; 1278578.600 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 65536 strings array; 11536.942 sort μs; 3589.376 rand gen μs; 44.244 overhead μs; 15170.561 total μs; 319651.200 swaps; 1408703.600 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 65536 strings array; 12964.394 sort μs; 4115.258 rand gen μs; 54.173 overhead μs; 17133.824 total μs; 318660.900 swaps; 1435492.900 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 65536 strings array; 13235.127 sort μs; 7240.607 rand gen μs; 77.966 overhead μs; 20553.701 total μs; 318627.300 swaps; 1442182.200 compares
